"age","year","Sex","Never","Current","Ex","init","cess","check"
10,2018,"Female",100,0,0,0,0,100
10,2018,"Male",100,0,0,0,0,100
10,2019,"Male",100,0,0,0,0,100
10,2019,"Female",100,0,0,0,0,100
10,2020,"Female",100,0,0,0,0,100
10,2020,"Male",100,0,0,0,0,100
10,2021,"Male",100,0,0,0,0,100
10,2021,"Female",100,0,0,0,0,100
10,2022,"Female",100,0,0,0,0,100
10,2022,"Male",100,0,0,0,0,100
10,2023,"Male",100,0,0,0,0,100
10,2023,"Female",100,0,0,0,0,100
11,2018,"Male",95.1861,3.703,1.1109,0.00591332833942371,0.00475515089557124,100
11,2018,"Female",99.7424,0.184,0.0736,0.000272186030837192,0.00720667944769162,100
11,2019,"Male",100,0,0,0.00612188413982889,0.00474553186520383,100
11,2019,"Female",100,0,0,0.000279895677637828,0.00721360314763203,100
11,2020,"Male",100,0,0,0.00633360593664451,0.00473537572053854,100
11,2020,"Female",100,0,0,0.000287609504188095,0.00722015766495303,100
11,2021,"Male",100,0,0,0.00654856879203393,0.00472469205513396,100
11,2021,"Female",100,0,0,0.000295327582794145,0.00722637052891194,100
11,2022,"Male",100,0,0,0.00676684992598034,0.00471348827318611,100
11,2022,"Female",100,0,0,0.000303049978884276,0.0072322665928271,100
11,2023,"Male",100,0,0,0.0069885288317233,0.0047017697827445,100
11,2023,"Female",100,0,0,0.000310776751866652,0.00723786835191523,100
12,2018,"Male",90.3722,7.406,2.2218,0.0118266566788474,0.00951030179114249,100
12,2018,"Female",99.4848,0.368,0.1472,0.000544372061674384,0.0144133588953832,100
12,2019,"Male",94.6033817240778,4.26814557142532,1.12847270449685,0.0122437682796578,0.00949106373040766,100
12,2019,"Female",99.7144825333628,0.210590163658059,0.0749273029791643,0.000559791355275656,0.0144272062952641,100
12,2020,"Male",99.3666394063355,0.633360593664451,0,0.012667211873289,0.00947075144107707,100
12,2020,"Female",99.9712390495812,0.0287609504188095,0,0.00057521900837619,0.0144403153299061,100
12,2021,"Male",99.3451431207966,0.654856879203393,0,0.0130971375840679,0.00944938411026792,100
12,2021,"Female",99.9704672417206,0.0295327582794145,0,0.00059065516558829,0.0144527410578239,100
12,2022,"Male",99.323315007402,0.676684992598034,0,0.0135336998519607,0.00942697654637222,100
12,2022,"Female",99.9696950021116,0.0303049978884276,0,0.000606099957768552,0.0144645331856542,100
12,2023,"Male",99.3011471168277,0.698852883172331,0,0.0139770576634466,0.00940353956548899,100
12,2023,"Female",99.9689223248133,0.0310776751866652,0,0.000621553503733304,0.0144757367038305,100
13,2018,"Male",85.5583,11.109,3.3327,0.0177399850182711,0.0142654526867137,100
13,2018,"Female",99.2272,0.552,0.2208,0.000816558092511576,0.0216200383430749,100
13,2019,"Male",89.2657037242771,8.44220545773549,2.2920908179874,0.0183656524194867,0.0142365955956115,100
13,2019,"Female",99.4291092689787,0.41838151910467,0.152509211916657,0.000839687032913484,0.0216408094428961,100
13,2020,"Male",93.4050206438493,5.42608410583255,1.16889525031815,0.0190008178099335,0.0142061271616156,100
13,2020,"Female",99.6571248675992,0.264906841053046,0.0779682913477632,0.000862828512564284,0.0216604729948591,100
13,2021,"Male",98.0652208587643,1.92879427370584,0.00598486752984272,0.0196457063761018,0.0141740761654019,100
13,2021,"Female",99.9121905208263,0.0873938046047264,0.000415674568979965,0.000885982748382435,0.0216791115867358,100
13,2022,"Male",98.0006357720497,1.99319090750885,0.00617332044148089,0.020300549777941,0.0141404648195583,100
13,2022,"Female",99.9098751457473,0.0896976766905273,0.000427177562196495,0.000909149936652828,0.0216967997784813,100
13,2023,"Male",97.9350673062188,2.05856945967989,0.00636323410126824,0.0209655864951699,0.0141053093482335,100
13,2023,"Female",99.9075584879158,0.0920028249138968,0.000438687170243016,0.000932330255599956,0.0217136050557457,100
14,2018,"Male",80.7444,14.812,4.4436,0.0236533133576948,0.019020603582285,100
14,2018,"Female",98.9696,0.736,0.2944,0.00108874412334877,0.0288267177907665,100
14,2019,"Male",83.9869660005978,12.5221796589305,3.49085434047165,0.0244875365593156,0.0189821274608153,100
14,2019,"Female",99.1438802068477,0.623374066339834,0.232745726812479,0.00111958271055131,0.0288544125905281,100
14,2020,"Male",87.5695823511366,10.0183957866189,2.41202186224447,0.025334423746578,0.0189415028821541,100
14,2020,"Female",99.3433189985225,0.4951094479647,0.161571553512772,0.00115043801675238,0.0288806306598121,100
14,2021,"Male",91.5700130342265,7.18418198605939,1.2458049797141,0.0261942751681357,0.0188987682205358,100
14,2021,"Female",99.5688303742131,0.347458389471854,0.0837112363150419,0.00118131033117658,0.0289054821156478,100
14,2022,"Male",96.0744429612362,3.89229812366246,0.0332589151013458,0.0270673997039214,0.0188539530927444,100
14,2022,"Female",99.8213553591435,0.176332800407193,0.00231184044936843,0.0012121999155371,0.0289290663713084,100
14,2023,"Male",95.9459949661891,4.0197171390289,0.0342878947819795,0.0279541153268932,0.018807079130978,100
14,2023,"Female",99.8167261463157,0.180899016196045,0.00237483748827257,0.00124310700746661,0.0289514734076609,100
15,2018,"Male",75.9305,18.515,5.5545,0.0295666416971185,0.0237757544778562,100
15,2018,"Female",98.712,0.92,0.368,0.00136093015418596,0.0360333972384581,100
15,2019,"Male",78.76716855304,16.5080681750104,4.7247632719496,0.0306094206991445,0.0237276593260192,100
15,2019,"Female",98.8587953469698,0.825567805363551,0.315636847666629,0.00139947838818914,0.0360680157381601,100
15,2020,"Male",81.8592046147493,14.4127521426786,3.72804324257213,0.0316680296832225,0.0236768786026927,100
15,2020,"Female",99.0298213179294,0.71942951908527,0.250749162985345,0.00143804752094047,0.0361007883247651,100
15,2021,"Male",85.2757606146722,12.1228821831704,2.60135720215738,0.0327428439601697,0.0236234602756698,100
15,2021,"Female",99.2259637094562,0.598153359737594,0.175882930806204,0.00147663791397072,0.0361318526445597,100
15,2022,"Male",89.0914508905358,9.52729389957518,1.381255209889,0.0338342496299017,0.0235674413659306,100
15,2022,"Female",99.4481330464434,0.458104070431305,0.0937628831253411,0.00151524989442138,0.0361613329641355,100
15,2023,"Male",93.3887669027308,6.50477142335481,0.106461673914423,0.0349426441586165,0.0235088489137225,100
15,2023,"Female",99.6972667328017,0.295316332367071,0.00741693483125564,0.00155388375933326,0.0361893417595761,100
16,2018,"Male",73.7777,20.171,6.0513,0.0326731402774982,0.0237657366385852,100
16,2018,"Female",98.6476,0.966,0.3864,0.00142284223431012,0.0361102362950594,100
16,2019,"Male",73.6063113816036,20.3998710059751,5.99381761242124,0.0338694899233292,0.0237107586091177,100
16,2019,"Female",98.5738546893451,1.02496273617582,0.401182574479107,0.00146317460727111,0.0361450293318856,100
16,2020,"Male",76.2727675212389,18.6116096806668,5.11562279809429,0.0350875064183304,0.0236526693850818,100
16,2020,"Female",98.7166317013979,0.937927802346252,0.345440496255799,0.00150353048151473,0.0361779672286232,100
16,2021,"Male",79.1789014513449,16.7525762283773,4.06852232027778,0.0363278292654166,0.0235914913369703,100
16,2021,"Female",98.8835901291576,0.839666386485335,0.27674348435708,0.00154391023745599,0.0362091883046453,100
16,2022,"Male",82.3905192426557,14.722418240149,2.88706251719533,0.0375911231638674,0.0235272336883049,100
16,2022,"Female",99.0756115784216,0.726875467967119,0.197512953611291,0.00158431421967995,0.036238817435199,100
16,2023,"Male",85.978360024493,12.4164090527763,1.60523092273075,0.0388780795522009,0.0234598932848774,100
16,2023,"Female",99.2936022076065,0.596056424501895,0.110341367891632,0.00162474274141142,0.0362669676481267,100
17,2018,"Male",71.6249,21.827,6.5481,0.0357796388578779,0.0237557187993143,100
17,2018,"Female",98.5832,1.012,0.4048,0.00148475431443428,0.0361870753516606,100
17,2019,"Male",71.2788869332836,22.1915433548119,6.52956971190451,0.037129559147514,0.0236938578922162,100
17,2019,"Female",98.5032613366118,1.07542256505364,0.421316098334601,0.00152687082635309,0.036222042925611,100
17,2020,"Male",71.023649458572,22.5000215246041,6.47632901682389,0.0385069831534383,0.0236284601674709,100
17,2020,"Female",98.4256458941393,1.13609046310172,0.438263642759036,0.00156901344208898,0.0362551461324812,100
17,2021,"Male",73.5019434451266,20.9433581282306,5.55469842664282,0.0399128145706635,0.0235595223982709,100
17,2021,"Female",98.564222083107,1.05637581622589,0.379402100667117,0.00161118256094125,0.036286523964731,100
17,2022,"Male",76.2024776149077,19.3348582890084,4.46266409608395,0.041347996697833,0.0234870260106793,100
17,2022,"Female",98.7269274512229,0.965900547533648,0.307172001243395,0.00165337854493852,0.0363163019062624,100
17,2023,"Male",79.1873340811925,17.5802170408029,3.23244887800456,0.0428135149457853,0.0234109376560323,100
17,2023,"Female",98.9146391976586,0.861486279649077,0.223874522692272,0.00169560172348958,0.0363445935366773,100
18,2018,"Male",69.4721,23.483,7.0449,0.0388861374382576,0.0237457009600433,100
18,2018,"Female",98.5188,1.058,0.4232,0.00154666639455844,0.0362639144082619,100
18,2019,"Male",68.9654990390152,23.9692351247714,7.0652658362134,0.0403896283716988,0.0236769571753147,100
18,2019,"Female",98.4326761879515,1.12586710460781,0.441456707440718,0.00159056704543506,0.0362990565193364,100
18,2020,"Male",68.5341520349478,24.4119262549338,7.05392171011839,0.0419264598885461,0.02360425094986,100
18,2020,"Female",98.348708395485,1.1909859039302,0.460305700584789,0.00163449640266323,0.0363323250363392,100
18,2021,"Male",68.1888957076002,24.8046855145054,7.00641877789438,0.0434977998759104,0.0235275534595715,100
18,2021,"Female",98.2670642099252,1.2534473735003,0.479488416574479,0.00167845488442651,0.0363638596248166,100
18,2022,"Male",70.4627853302731,23.4906190459753,6.04659562375154,0.0451048702317987,0.0234468183330536,100
18,2022,"Female",98.4012581130162,1.18097612324812,0.417765763735651,0.00172244287019708,0.0363937863773259,100
18,2023,"Male",72.939981700636,22.1447070412879,4.91531125807614,0.0467489503393697,0.0233619820271872,100
18,2023,"Female",98.5595259028818,1.09819683307781,0.34227726404036,0.00176646070556774,0.0364222194252279,100
19,2018,"Male",67.3193,25.139,7.5417,0.0419926360186374,0.0237356831207723,100
19,2018,"Female",98.4544,1.104,0.4416,0.0016085784746826,0.0363407534648632,100
19,2019,"Male",66.6661476987985,25.7329463158536,7.60090598534792,0.0436496975958836,0.0236600564584132,100
19,2019,"Female",98.3620992433642,1.17629635483835,0.461604401797458,0.00165426326451704,0.0363760701130618,100
19,2020,"Male",66.0740198098624,26.2949385129629,7.63104167717471,0.045345936623654,0.0235800417322491,100
19,2020,"Female",98.2717883328177,1.2458495901492,0.482362077033051,0.00169997936323749,0.0364095039401972,100
19,2021,"Male",65.5530672050664,26.8186581848011,7.62827461013246,0.0470827851811573,0.023495584520872,100
19,2021,"Female",98.1836345255016,1.31275092968798,0.503614544810442,0.00174572720791177,0.0364411952849023,100
19,2022,"Male",65.1132444154592,27.2987458515793,7.58800973296151,0.0488617437657643,0.0234066106554279,100
19,2022,"Female",98.0978048058017,1.37708908167749,0.525106112520869,0.00179150719545565,0.0364712708483893,100
19,2023,"Male",67.1687240780945,26.2358928781943,6.59538304371112,0.0506843857329541,0.0233130263983421,100
19,2023,"Female",98.2274361571811,1.3117843075863,0.460779535232549,0.0018373196876459,0.0364998453137785,100
20,2018,"Male",65.1665,26.795,8.0385,0.0450991345990171,0.0237256652815014,100
20,2018,"Female",98.39,1.15,0.46,0.00167049055480676,0.0364175925214644,100
20,2019,"Male",64.3808329126334,27.4826769280585,8.13649015930805,0.0469097668200684,0.0236431557415117,100
20,2019,"Female",98.2915305028499,1.22671031574525,0.48175918140482,0.00171795948359901,0.0364530837067873,100
20,2020,"Male",63.6431087903056,28.1492012763249,8.20768993336947,0.0487654133587619,0.0235558325146382,100
20,2020,"Female",98.1948857045258,1.30068152691046,0.504432768563784,0.00176546232381174,0.0364866828440552,100
20,2021,"Male",62.9630709290991,28.7880724434237,8.24885662747716,0.0506677704864042,0.0234636155821726,100
20,2021,"Female",98.100232598155,1.37200507660171,0.527762325243294,0.00181299953139703,0.0365185309449879,100
20,2022,"Male",62.3500300322325,29.3939614672023,8.25600850056511,0.05261861729973,0.0233664029778023,100
20,2022,"Female",98.0077378377731,1.44076992270328,0.551492239523567,0.00186057152071422,0.0365487553194528,100
20,2023,"Male",61.813019619182,29.962554265177,8.22442611564101,0.0546198211265385,0.023264070769497,100
20,2023,"Female",97.9175677777171,1.50706257129751,0.575369650985391,0.00190817866972406,0.036577471202329,100
21,2018,"Male",63.0137,28.451,8.5353,0.0475478668348299,0.0244452549837848,100
